Systolic pressure (mmHg) is the higher measurement when the heart beats and pushes blood through the arteries? ,TRUE,FALSE,TRUE
The Vaccination process causes the body to produce Black Blood Cells? ,TRUE,FALSE,FALSE
Eating more fruit and vegetable reduces the risk of bowel cancer? ,TRUE,FALSE,TRUE
The malaria parasite is spread via birds? ,TRUE,FALSE,FALSE
Scurvy is caused by a vitamin D deficiency? ,TRUE,FALSE,FALSE
Mitosis uses cells from the parent plant? ,TRUE,FALSE,TRUE
Mutations can be spontaneous (they just happen)? ,TRUE,FALSE,TRUE
Genes can be switched off? ,TRUE,FALSE,TRUE
White Blood cells produce proteins that can kill cancer cells? ,TRUE,FALSE,TRUE
Germ-line modification is legal? ,TRUE,FALSE,FALSE
Insulin allows glucose to power jet airplanes? ,TRUE,FALSE,FALSE
,,,
